texto,prioridad,area_destino
"Solicito inscripcion de nacimiento adjuntando documentos completos, caso numero 1, agradecere la atencion",Alta,Registro Civil
"Requiero matrimonio civil con la documentacion requerida, caso numero 2, adjunto informacion adicional",Media,Registro Civil
"Deseo tramitar divorcio rapido para uso personal, caso numero 3, agradezco su apoyo",Media,Registro Civil
"Necesito gestionar copias de actas a fin de cumplir la normativa, caso numero 4, quedo atento a respuesta",Baja,Registro Civil
"Presento expediente para acta de defuncion para continuar otro procedimiento, caso numero 5, se incluyen sustentos",Media,Registro Civil
"Vengo a solicitar licencia de funcionamiento segun orientacion recibida, caso numero 6, requiero pronta atencion",Media,Rentas y Comercializacion
"Me acerco para pedir impuesto predial para una gestion bancaria, caso numero 7, solicito evaluacion",Baja,Rentas y Comercializacion
"Quisiera obtener autoavaluo porque debo regularizar una situacion pendiente, caso numero 8, presento todos los requisitos",Baja,Rentas y Comercializacion
"Estoy iniciando arbitrios antes de la fecha indicada, caso numero 9, por favor revisar el caso",Baja,Rentas y Comercializacion
"Corresponde gestionar fraccionamiento de deudas por motivos laborales, caso numero 10, espero la revision correspondiente",Media,Rentas y Comercializacion
"Solicito autorizacion de anuncios adjuntando documentos completos, caso numero 11, agradecere la atencion",Media,Rentas y Comercializacion
"Requiero licencia de edificacion modalidad A con la documentacion requerida, caso numero 12, adjunto informacion adicional",Media,Desarrollo Urbano y Obras
"Deseo tramitar licencia de edificacion modalidad B para uso personal, caso numero 13, agradezco su apoyo",Media,Desarrollo Urbano y Obras
"Necesito gestionar licencia de edificacion modalidad C a fin de cumplir la normativa, caso numero 14, quedo atento a respuesta",Media,Desarrollo Urbano y Obras
"Presento expediente para licencia de edificacion modalidad D para continuar otro procedimiento, caso numero 15, se incluyen sustentos",Alta,Desarrollo Urbano y Obras
"Vengo a solicitar constancia de posesion segun orientacion recibida, caso numero 16, requiero pronta atencion",Media,Desarrollo Urbano y Obras
"Me acerco para pedir certificado de parametros urbanisticos para una gestion bancaria, caso numero 17, solicito evaluacion",Baja,Desarrollo Urbano y Obras
"Quisiera obtener autorizacion de rotura de vias porque debo regularizar una situacion pendiente, caso numero 18, presento todos los requisitos",Media,Desarrollo Urbano y Obras
"Estoy iniciando ITSE basica antes de la fecha indicada, caso numero 19, por favor revisar el caso",Media,Gestion de Riesgos
"Corresponde gestionar ITSE de detalle por motivos laborales, caso numero 20, espero la revision correspondiente",Alta,Gestion de Riesgos
"Solicito acceso a informacion publica adjuntando documentos completos, caso numero 21, agradecere la atencion",Baja,Secretaria General
"Requiero recurso de apelacion con la documentacion requerida, caso numero 22, adjunto informacion adicional",Alta,Secretaria General
"Deseo tramitar recurso de reconsideracion para uso personal, caso numero 23, agradezco su apoyo",Media,Secretaria General
"Necesito gestionar inscripcion de nacimiento a fin de cumplir la normativa, caso numero 24, quedo atento a respuesta",Alta,Registro Civil
"Presento expediente para matrimonio civil para continuar otro procedimiento, caso numero 25, se incluyen sustentos",Media,Registro Civil
"Vengo a solicitar divorcio rapido segun orientacion recibida, caso numero 26, requiero pronta atencion",Media,Registro Civil
"Me acerco para pedir copias de actas para una gestion bancaria, caso numero 27, solicito evaluacion",Baja,Registro Civil
"Quisiera obtener acta de defuncion porque debo regularizar una situacion pendiente, caso numero 28, presento todos los requisitos",Media,Registro Civil
"Estoy iniciando licencia de funcionamiento antes de la fecha indicada, caso numero 29, por favor revisar el caso",Media,Rentas y Comercializacion
"Corresponde gestionar impuesto predial por motivos laborales, caso numero 30, espero la revision correspondiente",Baja,Rentas y Comercializacion
"Solicito autoavaluo adjuntando documentos completos, caso numero 31, agradecere la atencion",Baja,Rentas y Comercializacion
"Requiero arbitrios con la documentacion requerida, caso numero 32, adjunto informacion adicional",Baja,Rentas y Comercializacion
"Deseo tramitar fraccionamiento de deudas para uso personal, caso numero 33, agradezco su apoyo",Media,Rentas y Comercializacion
"Necesito gestionar autorizacion de anuncios a fin de cumplir la normativa, caso numero 34, quedo atento a respuesta",Media,Rentas y Comercializacion
"Presento expediente para licencia de edificacion modalidad A para continuar otro procedimiento, caso numero 35, se incluyen sustentos",Media,Desarrollo Urbano y Obras
"Vengo a solicitar licencia de edificacion modalidad B segun orientacion recibida, caso numero 36, requiero pronta atencion",Media,Desarrollo Urbano y Obras
"Me acerco para pedir licencia de edificacion modalidad C para una gestion bancaria, caso numero 37, solicito evaluacion",Media,Desarrollo Urbano y Obras
"Quisiera obtener licencia de edificacion modalidad D porque debo regularizar una situacion pendiente, caso numero 38, presento todos los requisitos",Alta,Desarrollo Urbano y Obras
"Estoy iniciando constancia de posesion antes de la fecha indicada, caso numero 39, por favor revisar el caso",Media,Desarrollo Urbano y Obras
"Corresponde gestionar certificado de parametros urbanisticos por motivos laborales, caso numero 40, espero la revision correspondiente",Baja,Desarrollo Urbano y Obras
"Solicito autorizacion de rotura de vias adjuntando documentos completos, caso numero 41, agradecere la atencion",Media,Desarrollo Urbano y Obras
"Requiero ITSE basica con la documentacion requerida, caso numero 42, adjunto informacion adicional",Media,Gestion de Riesgos
"Deseo tramitar ITSE de detalle para uso personal, caso numero 43, agradezco su apoyo",Alta,Gestion de Riesgos
"Necesito gestionar acceso a informacion publica a fin de cumplir la normativa, caso numero 44, quedo atento a respuesta",Baja,Secretaria General
"Presento expediente para recurso de apelacion para continuar otro procedimiento, caso numero 45, se incluyen sustentos",Alta,Secretaria General
"Vengo a solicitar recurso de reconsideracion segun orientacion recibida, caso numero 46, requiero pronta atencion",Media,Secretaria General
"Me acerco para pedir inscripcion de nacimiento para una gestion bancaria, caso numero 47, solicito evaluacion",Alta,Registro Civil
"Quisiera obtener matrimonio civil porque debo regularizar una situacion pendiente, caso numero 48, presento todos los requisitos",Media,Registro Civil
"Estoy iniciando divorcio rapido antes de la fecha indicada, caso numero 49, por favor revisar el caso",Media,Registro Civil
"Corresponde gestionar copias de actas por motivos laborales, caso numero 50, espero la revision correspondiente",Baja,Registro Civil
"Solicito acta de defuncion adjuntando documentos completos, caso numero 51, agradecere la atencion",Media,Registro Civil
"Requiero licencia de funcionamiento con la documentacion requerida, caso numero 52, adjunto informacion adicional",Media,Rentas y Comercializacion
"Deseo tramitar impuesto predial para uso personal, caso numero 53, agradezco su apoyo",Baja,Rentas y Comercializacion
"Necesito gestionar autoavaluo a fin de cumplir la normativa, caso numero 54, quedo atento a respuesta",Baja,Rentas y Comercializacion
"Presento expediente para arbitrios para continuar otro procedimiento, caso numero 55, se incluyen sustentos",Baja,Rentas y Comercializacion
"Vengo a solicitar fraccionamiento de deudas segun orientacion recibida, caso numero 56, requiero pronta atencion",Media,Rentas y Comercializacion
"Me acerco para pedir autorizacion de anuncios para una gestion bancaria, caso numero 57, solicito evaluacion",Media,Rentas y Comercializacion
"Quisiera obtener licencia de edificacion modalidad A porque debo regularizar una situacion pendiente, caso numero 58, presento todos los requisitos",Media,Desarrollo Urbano y Obras
"Estoy iniciando licencia de edificacion modalidad B antes de la fecha indicada, caso numero 59, por favor revisar el caso",Media,Desarrollo Urbano y Obras
"Corresponde gestionar licencia de edificacion modalidad C por motivos laborales, caso numero 60, espero la revision correspondiente",Media,Desarrollo Urbano y Obras
"Solicito licencia de edificacion modalidad D adjuntando documentos completos, caso numero 61, agradecere la atencion",Alta,Desarrollo Urbano y Obras
"Requiero constancia de posesion con la documentacion requerida, caso numero 62, adjunto informacion adicional",Media,Desarrollo Urbano y Obras
"Deseo tramitar certificado de parametros urbanisticos para uso personal, caso numero 63, agradezco su apoyo",Baja,Desarrollo Urbano y Obras
"Necesito gestionar autorizacion de rotura de vias a fin de cumplir la normativa, caso numero 64, quedo atento a respuesta",Media,Desarrollo Urbano y Obras
"Presento expediente para ITSE basica para continuar otro procedimiento, caso numero 65, se incluyen sustentos",Media,Gestion de Riesgos
"Vengo a solicitar ITSE de detalle segun orientacion recibida, caso numero 66, requiero pronta atencion",Alta,Gestion de Riesgos
"Me acerco para pedir acceso a informacion publica para una gestion bancaria, caso numero 67, solicito evaluacion",Baja,Secretaria General
"Quisiera obtener recurso de apelacion porque debo regularizar una situacion pendiente, caso numero 68, presento todos los requisitos",Alta,Secretaria General
"Estoy iniciando recurso de reconsideracion antes de la fecha indicada, caso numero 69, por favor revisar el caso",Media,Secretaria General
"Corresponde gestionar inscripcion de nacimiento por motivos laborales, caso numero 70, espero la revision correspondiente",Alta,Registro Civil
"Solicito matrimonio civil adjuntando documentos completos, caso numero 71, agradecere la atencion",Media,Registro Civil
"Requiero divorcio rapido con la documentacion requerida, caso numero 72, adjunto informacion adicional",Media,Registro Civil
"Deseo tramitar copias de actas para uso personal, caso numero 73, agradezco su apoyo",Baja,Registro Civil
"Necesito gestionar acta de defuncion a fin de cumplir la normativa, caso numero 74, quedo atento a respuesta",Media,Registro Civil
"Presento expediente para licencia de funcionamiento para continuar otro procedimiento, caso numero 75, se incluyen sustentos",Media,Rentas y Comercializacion
"Vengo a solicitar impuesto predial segun orientacion recibida, caso numero 76, requiero pronta atencion",Baja,Rentas y Comercializacion
"Me acerco para pedir autoavaluo para una gestion bancaria, caso numero 77, solicito evaluacion",Baja,Rentas y Comercializacion
"Quisiera obtener arbitrios porque debo regularizar una situacion pendiente, caso numero 78, presento todos los requisitos",Baja,Rentas y Comercializacion
"Estoy iniciando fraccionamiento de deudas antes de la fecha indicada, caso numero 79, por favor revisar el caso",Media,Rentas y Comercializacion
"Corresponde gestionar autorizacion de anuncios por motivos laborales, caso numero 80, espero la revision correspondiente",Media,Rentas y Comercializacion
