texto,prioridad
Local con orden de cierre definitivo cambia de nombre y continúa operando sin licencia nueva,Alta
Quiero saber si hay algún convenio con Essalud para atención preferente de vecinos del distrito,Baja
Solicito información sobre campañas de vacunación antirrábica para mascotas este año,Baja
Consulta sobre si existe programa de apoyo para adultos mayores solos en el distrito,Baja
Consulta sobre el procedimiento para solicitar revisión de deuda prescrita de arbitrios,Baja
Denuncia por depósito de desmonte en berma de Av. Grau que lleva 6 semanas sin retirarse,Media
"Talud de tierra sobre viviendas de Jr. El Pino sin muro de contención, zona de alto riesgo antes de lluvias",Alta
Pregunta sobre los pasos para inscribirse en el registro de proveedores municipales,Baja
Pregunta sobre cómo puedo presentar mi candidatura para defensor municipal del vecino,Baja
Solicito inspección de local que opera como almacén pesado en zonificación solo comercio vecinal,Media
"Rejilla de drenaje pluvial en Av. Grau completamente obstruida, inunda pista con lluvia de 10 minutos",Alta
"Árbol de ficus con raíces que levantaron vereda y base del poste contiguo, inclinación de 20 grados",Alta
"Expediente de renovación de licencia de hospital lleva 4 meses, Minsa exige documento con plazo vencido hoy",Alta
Necesito saber si puedo tramitar licencia de funcionamiento con poder notarial,Baja
Consulta sobre los documentos necesarios para solicitar certificado de parámetros urbanísticos,Baja
"Red de agua potable con presión cero en sector 7 desde hace 4 días, empresa no da fecha de reparación",Alta
Necesito asesoría sobre si mi actividad comercial requiere licencia especial o estándar,Baja
"Cobro de multa por supuesta infracción constructiva en predio que no me pertenece, DNI correcto dirección incorrecta",Media
"Aprobación de planos de edificación de 3 pisos en Jr. Huánuco 456, expediente ingresado con todos los requisitos",Media
Local de almacenamiento de químicos sin licencia de defensa civil en zona residencial de Balconcillo,Alta
"Local con resolución de cierre operando con candado cambiado, fiscalización no puede ingresar",Alta
Consulta sobre si hay alguna observación pendiente en mi expediente de habilitación urbana,Baja
Pregunta sobre los requisitos para obtener certificado de residencia para trámite escolar,Baja
"Predio embargado por deuda de arbitrios sin notificación previa, primera vez que me entero es con la orden",Alta
"Alumbrado apagado en una cuadra de Jr. Puno, el resto del jirón funciona, parece falla puntual",Media
Fosa de aceite de taller sin impermeabilización en zona con napa freática superficial en Jr. Puno,Alta
Solicito información sobre talleres de orientación legal gratuita para vecinos,Baja
Consulta sobre cuánto tiempo demora normalmente el certificado de no adeudo,Baja
Quiero información sobre el proceso de elecciones de juntas vecinales este año,Baja
Solicito empadronamiento de nuevo predio subdividido para asignarle código de contribuyente,Media
"Reclamo por expediente derivado a área incorrecta, lleva 50 días sin avance real",Media
Consulta sobre cómo proceder si mi vecino construyó sobre el límite de mi propiedad,Baja
"Construcción clandestina de 5 pisos sin columnas de amarre en Jr. Renovación, inspección urgente",Alta
"Vivienda de material noble construida sobre relleno sanitario antiguo, hundimiento visible en piso",Alta
Pregunta sobre el costo de la tasa para aprobación de planos de vivienda unifamiliar,Baja
Quiero saber si hay atención de emergencias municipales fuera del horario de oficina,Baja
"Canal de drenaje de la urbanización sin limpieza hace 2 años, vecinos documentan desborde en lluvias leves",Alta
Local de almacenamiento de GLP sin licencia en edificio residencial de Urb. Balconcillo,Alta
Edificio patrimonial con intervención sin licencia ni autorización del ministerio de cultura,Alta
Excavación de obra vecina sin apuntalamiento dejó al descubierto cimientos de mi vivienda de 40 años,Alta
Quiero saber si la municipalidad brinda apoyo para trámites en Sunarp,Baja
"Letrina de obra de construcción desbordada sobre vereda pública, orina y heces en zona peatonal",Alta
Requiero información sobre las fechas de la campaña de amnistía tributaria anunciada,Baja
Necesito saber si la municipalidad tiene programa de apoyo a microempresarios formales,Baja
Solicito verificación de estado de cumplimiento de medidas correctivas ordenadas hace 3 meses,Media
"Pozo de bombeo de desagüe averiado en Urb. Santa Catalina, aguas residuales rebotan hacia viviendas hace 5 días",Alta
"Permiso de construcción para ampliación de un piso en mi vivienda de Jr. Puno, ingresé planos hace 60 días",Media
"Resolución de clausura no ejecutada hace 2 meses, local continúa operando con riesgo sanitario",Alta
"Solicito licencia de funcionamiento para consultorio dental, presenté expediente completo hace 40 días",Media
Consulta sobre si la municipalidad emite constancias de domicilio para trámites escolares,Baja
