texto,prioridad
Queja por trabajadores de obra que depositan materiales en área pública sin permiso,Media
Solicito autorización para colocar rejas de seguridad en pasaje privado de la urbanización,Media
Queja formal por alumbrado público deficiente en toda mi cuadra desde hace un mes,Media
"Anciano infartado en plena calle de Balconcillo, testigos piden ambulancia de emergencia",Alta
"Violación seguida de asesinato en parque zonal, vecinos piden patrullaje urgente",Alta
Peatón atrapado bajo escombros de muro derrumbado en Jr. Ayacucho,Alta
Requiero certificado de zonificación para trámite de crédito hipotecario en banco,Media
Reclamo porque empresa de construcción dañó vereda frente a mi casa y no la repara,Media
Consulta sobre cómo participar en la feria de emprendedores de la municipalidad,Baja
Pedido de formato de solicitud de acceso a expedientes en formato PDF,Baja
Solicito información sobre campañas de salud preventiva programadas este mes,Baja
Consulta sobre el proceso para solicitar permiso de filmación en espacios públicos,Baja
Necesito el número de teléfono de la oficina de registro civil,Baja
"Intoxicación masiva por gas en edificio residencial, 15 vecinos con síntomas graves",Alta
Pregunta por el monto de la tasa de estacionamiento en vía pública,Baja
Solicito permiso temporal para ocupación de vía pública durante evento cultural,Media
Consulta sobre cómo obtener constancia de participación en programa social municipal,Baja
Camión de carga pierde el control y destruye quioscos en mercado de Av. Iquitos,Alta
Pregunta sobre cómo reportar un árbol con ramas secas en parque público,Baja
Fuga de agua de tubería principal inunda completamente sótano de edificio de 6 pisos,Alta
Necesito saber si la municipalidad ofrece servicio de mediación vecinal gratuita,Baja
"Reclamo por error en cálculo del impuesto predial 2025, me cobraron el doble",Media
"Denuncia por venta ambulatoria en zona prohibida de Gamarra, obstruyen el paso peatonal",Media
"Robo a mano armada dentro de banco municipal, rehenes en el interior",Alta
Solicito folleto informativo sobre trámites vecinales disponibles,Baja
Necesito datos de contacto de la Defensoría Municipal del Vecino,Baja
"Petición de limpieza de parque San Cristóbal, acumulación de basura y proliferación de ratas",Media
Consulta sobre costo de derecho de tramitación para licencia de mototaxi,Baja
"Incendio en galería Gamarra Center, personas atrapadas en el segundo piso, humo denso",Alta
Quiero saber qué documentos necesito para tramitar certificado de convivencia,Baja
Solicito información sobre actividades culturales programadas para este mes,Baja
Quisiera saber si puedo pagar mi predial en línea con tarjeta de crédito,Baja
"Explosión en laboratorio clandestino de sustancias peligrosas, vecinos intoxicados",Alta
Fuga de agroquímicos tóxicos de depósito clandestino contamina acequia vecinal,Alta
"Fuga de gas masiva en Mercado Central de La Victoria, cuadra 5 de Av. Aviación, riesgo de explosión inminente",Alta
Peligro inminente: grietas profundas en pared medianera amenazan colapsar sobre peatones,Alta
Pregunta sobre cómo registrar una asociación cultural ante la municipalidad,Baja
"Urgente: persona herida de arma blanca en exterior de mercado central, necesita ambulancia",Alta
"Incendio en almacén textil de Gamarra, fuego se propaga a galerías vecinas",Alta
Persona electrocutada por cable pelado en poste de Urb. Santa Catalina,Alta
"Desborde de río Rímac en la altura del Puente Santa Rosa, zonas bajas inundadas",Alta
Solicito colocación de tachos diferenciados para reciclaje en mi urbanización,Media
Denuncia por depósito de residuos peligrosos en solar abandonado cerca de escuela,Media
Quisiera saber si existe programa de apoyo económico para madres solteras del distrito,Baja
"Colapso de losa de estacionamiento subterráneo, vehículos hundidos y persona atrapada",Alta
Consulta sobre requisitos para inscripción en programa deportivo municipal gratuito,Baja
Solicitud de acceso a la información pública sobre presupuesto municipal 2025,Baja
"Emergencia: vehículo impacta contra fachada de vivienda, derrumba muro de entrada",Alta
Pregunto sobre el proceso para solicitar donación de mobiliario escolar municipal,Baja
"Incendio en depósito de pirotécnicos en Gamarra, explosiones continuas sin control",Alta
Necesito información sobre el horario de la piscina municipal para adultos mayores,Baja
Solicito renovación de autorización para quiosco de periódicos en paradero principal,Media
"Pandilleros atacan con ácido a comerciante en galería, víctima con quemaduras graves",Alta
Reclamo por rotura de vereda ocasionada por empresa de telecomunicaciones sin reparar,Media
Urgente: riña con machetes entre grupos rivales en pasaje interior de Gamarra,Alta
"Denuncia por discriminación en ventanilla única, no quisieron atender a mi madre anciana",Media
